frequency2,S11_C,S21_C
22.86,-0.260530658,-13.6965696
22.8625,-0.254029648,-13.82570348
22.865,-0.247737233,-13.9544093
22.8675,-0.241645816,-14.08268575
22.87,-0.235748099,-14.21053174
22.8725,-0.230037071,-14.33794635
22.875,-0.224506001,-14.46492884
22.8775,-0.219148418,-14.59147863
22.88,-0.213958107,-14.71759532
22.8825,-0.208929096,-14.84327866
22.885,-0.204055645,-14.96852851
22.8875,-0.19933224,-15.0933449
22.89,-0.194753578,-15.21772798
22.8925,-0.190314563,-15.34167802
22.895,-0.186010296,-15.46519539
22.8975,-0.181836067,-15.58828059
22.9,-0.177787346,-15.71093422
22.9025,-0.173859777,-15.83315697
22.905,-0.170049171,-15.95494961
22.9075,-0.166351499,-16.07631302
22.91,-0.162762884,-16.19724814
22.9125,-0.159279597,-16.317756
22.915,-0.155898048,-16.43783771
22.9175,-0.152614786,-16.55749442
22.92,-0.149426486,-16.67672737
22.9225,-0.146329949,-16.79553784
22.925,-0.143322096,-16.9139272
22.9275,-0.140399962,-17.03189683
22.93,-0.137560692,-17.14944819
22.9325,-0.134801537,-17.26658279
22.935,-0.132119849,-17.38330216
22.9375,-0.129513078,-17.4996079
22.94,-0.126978766,-17.61550163
22.9425,-0.124514547,-17.73098504
22.945,-0.12211814,-17.84605981
22.9475,-0.119787347,-17.96072771
22.95,-0.117520049,-18.0749905
22.9525,-0.115314203,-18.18885002
22.955,-0.113167843,-18.30230812
22.9575,-0.111079068,-18.41536669
22.96,-0.109046049,-18.52802769
22.9625,-0.107067021,-18.64029309
22.965,-0.105140281,-18.75216495
22.9675,-0.103264186,-18.86364538
22.97,-0.101437154,-18.97473654
22.9725,-0.099657653,-19.08544068
22.975,-0.09792421,-19.19576009
22.9775,-0.096235401,-19.30569706
22.98,-0.094589851,-19.41525372
22.9825,-0.092986233,-19.52443172
22.985,-0.091423268,-19.63323149
22.9875,-0.089899718,-19.74165104
22.99,-0.088414388,-19.84968485
22.9925,-0.086966126,-19.95732466
22.995,-0.085553817,-20.06456548
22.9975,-0.084176386,-20.17141364
23,-0.082832791,-20.27788598
23.0025,-0.081522028,-20.38399879
23.005,-0.080243127,-20.48976048
23.0075,-0.078995148,-20.59517289
23.01,-0.077777185,-20.70023518
23.0125,-0.07658836,-20.80494635
23.015,-0.075427826,-20.90930597
23.0175,-0.074294762,-21.01331431
23.02,-0.073188375,-21.11697217
23.0225,-0.0721079,-21.22028073
23.025,-0.071052593,-21.32324139
23.0275,-0.070021737,-21.42585573
23.03,-0.069014637,-21.5281254
23.0325,-0.068030623,-21.63005215
23.035,-0.067069043,-21.73163775
23.0375,-0.066129268,-21.83288399
23.04,-0.065210689,-21.93379268
23.0425,-0.064312716,-22.03436563
23.045,-0.063434778,-22.13460467
23.0475,-0.062576322,-22.23451161
23.05,-0.061736813,-22.33408825
23.0525,-0.060915731,-22.43333641
23.055,-0.060112576,-22.53225788
23.0575,-0.059326859,-22.63085445
23.06,-0.05855811,-22.72912791
23.0625,-0.057805871,-22.82708002
23.065,-0.057069701,-22.92471256
23.0675,-0.056349169,-23.02202727
23.07,-0.05564386,-23.1190259
23.0725,-0.05495337,-23.21571019
23.075,-0.054277309,-23.31208185
23.0775,-0.053615298,-23.40814261
23.08,-0.052966969,-23.50389417
23.0825,-0.052331965,-23.59933821
23.085,-0.051709942,-23.69447643
23.0875,-0.051100563,-23.7893105
23.09,-0.050503503,-23.88384207
23.0925,-0.049918447,-23.9780728
23.095,-0.049345088,-24.07200433
23.0975,-0.048783129,-24.16563828
23.1,-0.048232281,-24.25897628
